Names,Mail
LTD «Kazmeal»,mdt@ kazmeal.kz
«FPD» LLP,fpdllp@mail.ru
«Agrofirma TNK» LLP,almas1975@mail.ru
"Great Wall for Investment and Trading Co.,LTD",mayongsheng716@hotmail.com
SEEDONICS INVESTMENT CO.LTD,taha_sonsSS@hotmail.com
BOHAT PROJECT FOR AGRICULTURAL PRODUCTION ,taha_sonsSS@hotmail.com
ARCADIA TRADING AND INVESTMENT CO.LTD,adel.elgadi@gmail.com
DAL AGRICULUTERAL,zahir.rahama@dalgroup.com
GLB Agricultural Project - GLB Invest ,info@glbinvest.com
BILDAT AGRICULTURAL COMPANY LTD,hussein@bildat.com
MOB PROJECT FOR AGRICULTUREAL&LIVESTOCK PRODUCTION,info@moawiaelberier.com
Quala for Import & Export co.Ltd,sales@quala-trading.com
Quala for Import & Export co.Ltd,info@quala-trading.com
